website,address,houseNr,postnum,city,suggest_price,latest_price,priceOfferDueDate,yearbuilt,insidem2,outsidem2,roomqty,floorlevels,img_urls
Betri,Heimaratún ,3,100 ,Tórshavn,3595000,,,1959,173,137,,4,https://betriheim.cdn.fo/savn/exblvitt/d-3.jpg?width=400&height=233&rmode=max&quality=50&s=atFtQEwYP0z8tY_MeRbZLzKBhp8
Betri,Gerðisbreyt ,3,176 ,Velbastaður,2995000,3020000,2023-10-03 14:00:00,1985,154,602,4,2,https://betriheim.cdn.fo/savn/mfvplxx0/f-5.jpg?width=400&height=233&rmode=max&quality=50&s=X9P4Czx0LPVdZNEKfQ26YDFqDDM
Betri,Ennivegur ,66,530 ,Fuglafjørður,1545000,,,1952,132,305,3,3,https://betriheim.cdn.fo/savn/jxnbr0c4/15.jpg?width=400&height=233&rmode=max&quality=50&s=PvsHlFuZYyIBPNRITlEqLSBeCl4
Betri,Grásteinsgøta ,2B,100 ,Tórshavn,4700000,,,2023,174,305,5,2,https://betriheim.cdn.fo/savn/dmfh4fdt/12.jpg?width=400&height=233&rmode=max&quality=50&s=xgVKykhPZo50M7thBLFv3JVDiYc
Betri,Kráarvegur ,20,530 ,Fuglafjørður,2095000,,,1990,264,500,5,2,https://betriheim.cdn.fo/savn/at4asmwl/f-3.jpg?width=400&height=233&rmode=max&quality=50&s=-iWzXPw46wQFY1EwYMlOLcbF5LU
Betri,Liðabrekkan ,15,380 ,Sørvágur,975000,,,1918,772,173,3,3,https://betriheim.cdn.fo/savn/yikbdomz/e04.jpg?width=400&height=233&rmode=max&quality=50&s=1uMPvYo8VXZtQAOSI-ySa_5xQUE
Betri,Steigarbrekka ,14,360 ,Sandavágur,1500000,1200000,2023-09-11 11:00:00,1926,104,179,,3,https://betriheim.cdn.fo/savn/h2vpxd1h/e-3.jpg?width=400&height=233&rmode=max&quality=50&s=5jtsoLhPfKjGd6TsI2VTDBNDUbA
Betri,Garðavegur ,12,240 ,Skopun,1350000,,,1924,156,137,4,3,https://betriheim.cdn.fo/savn/5txbrwxa/30.jpg?width=400&height=233&rmode=max&quality=50&s=c77IhHTDWM_iAY2kKC-gd-rREcA
Betri,Stoffalág ,59,100 ,Tórshavn,1795000,,,,,424,,,https://betriheim.cdn.fo/savn/g0zdbwfx/13.jpg?width=400&height=233&rmode=max&quality=50&s=OalYdu-z5kU1Xd8QIWK3Q5oje8k
Betri,Garðavegur ,70,700 ,Klaksvík,695000,,,1940,150,150,5,3,https://betriheim.cdn.fo/savn/mipjrllb/13.jpg?width=400&height=233&rmode=max&quality=50&s=IL0ORspV0EdGW54YSPI_AzAd1Q4
Betri,Bøgøta ,30,900 ,Vágur,1690000,,,1960,134,382,,2,https://betriheim.cdn.fo/savn/uowlcsam/25.jpg?width=400&height=233&rmode=max&quality=50&t=77&s=09Vsdt_qfiIwwH5Hd4R8kE_rrPo
Betri,Karlamagnusarbreyt ,44,188 ,Hoyvík,2995000,,,2021,83,,2,1,https://betriheim.cdn.fo/savn/uzghlhbl/c-5.jpg?width=400&height=233&rmode=max&quality=50&t=45&s=u61gxYWsX5R5fW5rs81xuADXjzw
Betri,Ærgisbrekka ,1,600 ,Saltangará,4700000,,,2003,360,616,5,3,https://betriheim.cdn.fo/savn/iapkxe3x/36.jpg?width=400&height=233&rmode=max&quality=50&s=uTKTrmL6iGBUYpXNhkN_dyDvRoE
Betri,Niels Winthersgøta ,9,100 ,Tórshavn,10000000,,,1947,555,185,,3,https://betriheim.cdn.fo/savn/mgnjrqo5/35.jpg?width=400&height=233&rmode=max&quality=50&s=UqePDo8lbuFVvhCixzO-fACEg6w
Betri,Neyst Matr nr ,141,400 ,Oyrarbakki,495000,425000,,1989,,48,,,https://betriheim.cdn.fo/savn/mxxjj5lc/c-11.jpg?width=400&height=233&rmode=max&quality=50&s=dvRiA2ZzQflxovJbPyv64J-M6Ic
Betri,Matr nr ,13d,370 ,Miðvágur,925000,,,,,5166,,,https://betriheim.cdn.fo/savn/1fwht0hv/kortalmynd-av-heimaraleiti.jpg?width=400&height=233&rmode=max&quality=50&s=AOwwlKi-C90soMmJOrgdvBfLsqg
Betri,Grundstykki  ,176,176 ,Velbastaður,745000,,,,,510,,,https://betriheim.cdn.fo/savn/h5jn0hcn/a-11.jpg?width=400&height=233&rmode=max&quality=50&s=lgGc5cKpXiYiR6QdrzwayH3vIn4
Betri,Neyst - matr. ,283e,416 ,Signabøur,600000,,,,63,93,,2,https://betriheim.cdn.fo/savn/o4udnssa/9.jpg?width=400&height=233&rmode=max&quality=50&s=JXyL3oiOAZjbcRBXrHXkGl0ItsI
Betri,Heimaratún ,3,100 ,Tórshavn,3595000,,,1959,173,137,,4,https://betriheim.cdn.fo/savn/exblvitt/d-3.jpg?width=400&height=233&rmode=max&quality=50&s=atFtQEwYP0z8tY_MeRbZLzKBhp8
Betri,Gerðisbreyt ,3,176 ,Velbastaður,2995000,3020000,2023-10-03 14:00:00,1985,154,602,4,2,https://betriheim.cdn.fo/savn/mfvplxx0/f-5.jpg?width=400&height=233&rmode=max&quality=50&s=X9P4Czx0LPVdZNEKfQ26YDFqDDM
Betri,Ennivegur ,66,530 ,Fuglafjørður,1545000,,,1952,132,305,3,3,https://betriheim.cdn.fo/savn/jxnbr0c4/15.jpg?width=400&height=233&rmode=max&quality=50&s=PvsHlFuZYyIBPNRITlEqLSBeCl4
Betri,Grásteinsgøta ,2B,100 ,Tórshavn,4700000,,,2023,174,305,5,2,https://betriheim.cdn.fo/savn/dmfh4fdt/12.jpg?width=400&height=233&rmode=max&quality=50&s=xgVKykhPZo50M7thBLFv3JVDiYc
Betri,Kráarvegur ,20,530 ,Fuglafjørður,2095000,,,1990,264,500,5,2,https://betriheim.cdn.fo/savn/at4asmwl/f-3.jpg?width=400&height=233&rmode=max&quality=50&s=-iWzXPw46wQFY1EwYMlOLcbF5LU
Betri,Liðabrekkan ,15,380 ,Sørvágur,975000,,,1918,772,173,3,3,https://betriheim.cdn.fo/savn/yikbdomz/e04.jpg?width=400&height=233&rmode=max&quality=50&s=1uMPvYo8VXZtQAOSI-ySa_5xQUE
Betri,Steigarbrekka ,14,360 ,Sandavágur,1500000,1200000,2023-09-11 11:00:00,1926,104,179,,3,https://betriheim.cdn.fo/savn/h2vpxd1h/e-3.jpg?width=400&height=233&rmode=max&quality=50&s=5jtsoLhPfKjGd6TsI2VTDBNDUbA
Betri,Garðavegur ,12,240 ,Skopun,1350000,,,1924,156,137,4,3,https://betriheim.cdn.fo/savn/5txbrwxa/30.jpg?width=400&height=233&rmode=max&quality=50&s=c77IhHTDWM_iAY2kKC-gd-rREcA
Betri,Stoffalág ,59,100 ,Tórshavn,1795000,,,,,424,,,https://betriheim.cdn.fo/savn/g0zdbwfx/13.jpg?width=400&height=233&rmode=max&quality=50&s=OalYdu-z5kU1Xd8QIWK3Q5oje8k
Betri,Garðavegur ,70,700 ,Klaksvík,695000,,,1940,150,150,5,3,https://betriheim.cdn.fo/savn/mipjrllb/13.jpg?width=400&height=233&rmode=max&quality=50&s=IL0ORspV0EdGW54YSPI_AzAd1Q4
Betri,Bøgøta ,30,900 ,Vágur,1690000,,,1960,134,382,,2,https://betriheim.cdn.fo/savn/uowlcsam/25.jpg?width=400&height=233&rmode=max&quality=50&t=77&s=09Vsdt_qfiIwwH5Hd4R8kE_rrPo
Betri,Karlamagnusarbreyt ,44,188 ,Hoyvík,2995000,,,2021,83,,2,1,https://betriheim.cdn.fo/savn/uzghlhbl/c-5.jpg?width=400&height=233&rmode=max&quality=50&t=45&s=u61gxYWsX5R5fW5rs81xuADXjzw
Betri,Ærgisbrekka ,1,600 ,Saltangará,4700000,,,2003,360,616,5,3,https://betriheim.cdn.fo/savn/iapkxe3x/36.jpg?width=400&height=233&rmode=max&quality=50&s=uTKTrmL6iGBUYpXNhkN_dyDvRoE
Betri,Niels Winthersgøta ,9,100 ,Tórshavn,10000000,,,1947,555,185,,3,https://betriheim.cdn.fo/savn/mgnjrqo5/35.jpg?width=400&height=233&rmode=max&quality=50&s=UqePDo8lbuFVvhCixzO-fACEg6w
Betri,Neyst Matr nr ,141,400 ,Oyrarbakki,495000,425000,,1989,,48,,,https://betriheim.cdn.fo/savn/mxxjj5lc/c-11.jpg?width=400&height=233&rmode=max&quality=50&s=dvRiA2ZzQflxovJbPyv64J-M6Ic
Betri,Matr nr ,13d,370 ,Miðvágur,925000,,,,,5166,,,https://betriheim.cdn.fo/savn/1fwht0hv/kortalmynd-av-heimaraleiti.jpg?width=400&height=233&rmode=max&quality=50&s=AOwwlKi-C90soMmJOrgdvBfLsqg
Betri,Grundstykki  ,176,176 ,Velbastaður,745000,,,,,510,,,https://betriheim.cdn.fo/savn/h5jn0hcn/a-11.jpg?width=400&height=233&rmode=max&quality=50&s=lgGc5cKpXiYiR6QdrzwayH3vIn4
Betri,Neyst - matr. ,283e,416 ,Signabøur,600000,,,,63,93,,2,https://betriheim.cdn.fo/savn/o4udnssa/9.jpg?width=400&height=233&rmode=max&quality=50&s=JXyL3oiOAZjbcRBXrHXkGl0ItsI
Skyn,Garðavegur ,50,,Klaksvík,700000,650000,,,,355,,,https://www.skyn.fo/admin/public/getimage.ashx?&Image=/Files/Images/Ognir/Nordoyggjar/Gardavegur_50_Klaksvik/IMG_2530.jpeg&Width=360&Height=248&Crop=6
Skyn,Íbúð ,1,,Norðragøta,2100000,,,2023,81,,2,1,https://www.skyn.fo/admin/public/getimage.ashx?&Image=/Files/Images/Ognir/Eysturoy/I_Palslida_2og4_nordragota/01.bmp&Width=360&Height=248&Crop=6
Skyn,Lýðarsvegur ,48B,,Toftir,2000000,,,2021,150,341,,2,https://www.skyn.fo/admin/public/getimage.ashx?&Image=/Files/Images/Ognir/Eysturoy/lydarsvegur_48b_toftir/01.JPEG&Width=360&Height=248&Crop=6
Skyn,Íbúð ,2,,Norðragøta,2100000,,,2023,81,,2,1,https://www.skyn.fo/admin/public/getimage.ashx?&Image=/Files/Images/Ognir/Eysturoy/I_Palslida_2og4_nordragota/01.bmp&Width=360&Height=248&Crop=6
Skyn,Íbúð ,3,,Norðragøta,2100000,,,2023,81,,2,1,https://www.skyn.fo/admin/public/getimage.ashx?&Image=/Files/Images/Ognir/Eysturoy/I_Palslida_2og4_nordragota/01.bmp&Width=360&Height=248&Crop=6
Skyn,Íbúð ,4,,Norðragøta,2100000,,,2023,81,,2,1,https://www.skyn.fo/admin/public/getimage.ashx?&Image=/Files/Images/Ognir/Eysturoy/I_Palslida_2og4_nordragota/01.bmp&Width=360&Height=248&Crop=6
Skyn,Undir Ryggi ,12,,Tórshavn,3995000,,,1900,59,40,2,3,https://www.skyn.fo/admin/public/getimage.ashx?&Image=/Files/Images/Ognir/Sudurstreymoy/Torshavn/undir_ryggi_12/01.jpg&Width=360&Height=248&Crop=6
Skyn,Liljugøta ,7,,Tórshavn,4995000,,,2022,198,510,3,1,https://www.skyn.fo/admin/public/getimage.ashx?&Image=/Files/Images/Ognir/Sudurstreymoy/Torshavn/Liljugota_7/01v.jpg&Width=360&Height=248&Crop=6
Skyn,Leirvíksvegur ,9,,Skopun,1585000,1200000,,1949,211,926,3,3,https://www.skyn.fo/admin/public/getimage.ashx?&Image=/Files/Images/Ognir/Sandoy-og-Skuvoy/Leirviksvegur_9_Skopun/01v.JPG&Width=360&Height=248&Crop=6
Skyn,Landavegur ,61,,Tórshavn,3675000,3200000,,1936,172,815,4,3,https://www.skyn.fo/admin/public/getimage.ashx?&Image=/Files/Images/Ognir/Sudurstreymoy/Torshavn/landavegur_61/01.JPG&Width=360&Height=248&Crop=6
Skyn,í Homrum ,25,,Kollafjørður,1395000,,,1910,193,450,,3,https://www.skyn.fo/admin/public/getimage.ashx?&Image=/Files/Images/Ognir/Nordstreymoy/i_homrum_25_kollafjordur/02v.jpg&Width=360&Height=248&Crop=6
Skyn,Niels Finsens gøta ,23A,,Tórshavn,7495000,,,,332,179,,3,https://www.skyn.fo/admin/public/getimage.ashx?&Image=/Files/Images/Ognir/Sudurstreymoy/Torshavn/Niels_Finsens_gota_23A_nyta_hetta/01v.jpg&Width=360&Height=248&Crop=6
Skyn,við Krossá ,6,,Kaldbak,330000,,,,,,,,https://www.skyn.fo/admin/public/getimage.ashx?&Image=/Files/Images/Ognir/Sudurstreymoy/Kaldbak/vid_krossa_6/01v.jpg&Width=360&Height=248&Crop=6
Skyn,Niðari Vegur ,78,,Skipanes,3600000,,,2022,132,13693,3,1,https://www.skyn.fo/admin/public/getimage.ashx?&Image=/Files/Images/Ognir/Eysturoy/nidari_vegur_78_skipanes/01.jpg&Width=360&Height=248&Crop=6
Skyn,matr.nr. ,58a,,Oyrarbakki,450000,,,,,4792,,,https://www.skyn.fo/admin/public/getimage.ashx?&Image=/Files/Images/Ognir/Eysturoy/matrnr_58a_oyri/01.JPG&Width=360&Height=248&Crop=6
Skyn,Handan Á ,4,,Mykines,2900000,,,1905,125,105,4,3,https://www.skyn.fo/admin/public/getimage.ashx?&Image=/Files/Images/Ognir/Vagar/handan_a_ 4_mykines/03.JPEG&Width=360&Height=248&Crop=6
Skyn,Hagabrekka ,28,,Skálavík,1995000,,,1980,272,500,3,2,https://www.skyn.fo/admin/public/getimage.ashx?&Image=/Files/Images/Ognir/Sandoy-og-Skuvoy/hagabrekka_28_skalavik/01.JPG&Width=360&Height=248&Crop=6
